Del_MAP	psi	nC_MAP	p_MAP
0.73	0.001	7	0.0282519879584917
0.74	0.001	7	0.0282265787881443
0.75	0.001	7	0.0282011886432388
0.76	0.001	7	0.0281758175134418
0.77	0.001	7	0.0281504653884218
0.78	0.001	7	0.0281251322578491
0.79	0.001	7	0.0280998181113959
0.8	0.001	7	0.0280745229387365
0.81	0.001	7	0.0280492467295468
0.82	0.001	7	0.0280239894735047
0.83	0.001	7	0.0279987511602901
0.84	0.001	7	0.0279735317795846
0.85	0.001	7	0.027948331321072
0.86	0.001	7	0.0279231497744376
0.87	0.001	7	0.027897987129369
0.88	0.001	7	0.0278728433755554
0.89	0.001	7	0.0278477185026882
0.9	0.001	7	0.0278226125004605
0.91	0.001	7	0.0277975253585675
0.92	0.001	8	0.0282106051540005
0.93	0.001	8	0.0281837654959901
0.94	0.001	8	0.0281569470992112
0.95	0.001	8	0.0281301499514434
0.96	0.001	8	0.0281033740404687
0.97	0.001	8	0.0280766193540713
0.98	0.001	8	0.028049885880038
0.99	0.001	8	0.0280231736061578
1	0.001	8	0.0279964825202222
1.01	0.001	8	0.0279698126100249
1.02	0.001	8	0.0279431638633621
1.03	0.001	8	0.0279165362680325
1.04	0.001	8	0.027889929811837
1.05	0.001	8	0.0278633444825789
1.06	0.001	8	0.027836780268064
1.07	0.001	8	0.0278102371561006
1.08	0.001	8	0.027783715134499
1.09	0.001	8	0.0277572141910724
1.1	0.001	8	0.0277307343136361
1.11	0.001	8	0.0277042754900081
1.12	0.001	8	0.0276778377080084
1.13	0.001	8	0.0276514209554598
1.14	0.001	8	0.0276250252201875
1.15	0.001	8	0.027598650490019
1.16	0.001	8	0.0275722967527842
1.17	0.001	8	0.0275459639963157
1.18	0.001	8	0.0275196522084483
1.19	0.001	8	0.0274933613770194
1.2	0.001	8	0.0274670914898689
1.21	0.001	8	0.0274408425348389
1.22	0.001	8	0.0274146144997743
1.23	0.001	8	0.0273884073725223
1.24	0.001	8	0.0273622211409326
1.25	0.001	8	0.0273360557928574
1.26	0.001	8	0.0273099113161514
1.27	0.001	8	0.0272837876986717
1.28	0.001	8	0.027257684928278
1.29	0.001	8	0.0272316029928324
1.3	0.001	8	0.0272055418801997
1.31	0.001	8	0.027179501578247
1.32	0.001	8	0.0271534820748441
1.33	0.001	8	0.027127483357863
1.34	0.001	8	0.0271015054151785
1.35	0.001	8	0.027075548234668
1.36	0.001	8	0.0270496118042111
1.37	0.001	8	0.0270236961116902
1.38	0.001	8	0.0269978011449901
1.39	0.001	8	0.0269719268919983
1.4	0.001	8	0.0269460733406046
1.41	0.001	8	0.0269202404787017
1.42	0.001	8	0.0268944282941844
1.43	0.001	8	0.0268686367749505
1.44	0.001	8	0.0268428659089002
1.45	0.001	8	0.026817115683936
1.46	0.001	8	0.0267913860879634
1.47	0.001	8	0.0267656771088903
1.48	0.001	8	0.0267399887346272
1.49	0.001	8	0.0267143209530869
1.5	0.001	8	0.0266886737521853
1.51	0.001	8	0.0266630471198406
1.52	0.001	8	0.0266374410439735
1.53	0.001	8	0.0266118555125076
1.54	0.001	8	0.0265862905133689
1.55	0.001	8	0.0265607460344859
1.56	0.001	8	0.02653522206379
1.57	0.001	8	0.0265097185892151
1.58	0.001	8	0.0264842355986976
1.59	0.001	8	0.0264587730801766
1.6	0.001	8	0.0264333310215941
1.61	0.001	8	0.0264079094108942
1.62	0.001	8	0.0263825082360242
1.63	0.001	8	0.0263571274849335
1.64	0.001	8	0.0263317671455746
1.65	0.001	8	0.0263064272059025
1.66	0.001	8	0.0262811076538747
1.67	0.001	8	0.0262558084774515
1.68	0.001	8	0.0262305296645959
1.69	0.001	8	0.0262052712032735
1.7	0.001	8	0.0261800330814526
1.71	0.001	8	0.0261548152871042
1.72	0.001	8	0.0261296178082019
1.73	0.001	8	0.0261044406327219
