Del_FPP	alpha0	nC_FPP	p_FPP
4.78	1	9	0.0190302828339657
4.79	1	9	0.0190017168818088
4.8	1	9	0.0189731874052744
4.81	1	9	0.0189446943685925
4.82	1	9	0.0189162377360111
4.83	1	9	0.0188878174717964
4.84	1	9	0.0188594335402326
4.85	1	9	0.0188310859056222
4.86	1	9	0.0188027745322856
4.87	1	9	0.0187744993845616
4.88	1	9	0.018746260426807
4.89	1	9	0.0187180576233968
4.9	1	9	0.0186898909387242
4.91	1	9	0.0186617603372008
4.92	1	9	0.0186336657832563
4.93	1	9	0.0186056072413386
4.94	1	9	0.018577584675914
4.95	1	9	0.0185495980514669
4.96	1	9	0.0185216473325003
4.97	1	9	0.0184937324835353
4.98	1	9	0.0184658534691114
4.99	1	9	0.0184380102537866
5	1	9	0.0184102028021369
5.01	1	9	0.0183824310787572
5.02	1	9	0.0183546950482604
5.03	1	9	0.0183269946752779
5.04	1	9	0.0182993299244598
5.05	1	9	0.0182717007604744
5.06	0.965086593301309	9	0.0185351514517969
5.07	0.869708983641172	9	0.0194140175253503
5.08	0.772936937562031	9	0.0205166488676345
5.09	0.65582675050214	9	0.0222564169755254
5.09	1	10	0.0181469715729485
5.1	1	10	0.0181196788577809
5.11	1	10	0.0180924211384628
5.12	1	10	0.0180651983803394
5.13	1	10	0.018038010548774
5.14	1	10	0.0180108576091484
5.15	1	10	0.0179837395268624
5.16	1	10	0.0179566562673342
5.17	1	10	0.0179296077960002
5.18	1	10	0.0179025940783152
5.19	1	10	0.0178756150797522
5.2	1	10	0.0178486707658027
5.21	1	10	0.0178217611019764
5.22	1	10	0.0177948860538013
5.23	1	10	0.0177680455868239
5.24	1	10	0.0177412396666091
5.25	1	10	0.01771446825874
5.26	1	10	0.0176877313288185
5.27	1	10	0.0176610288424646
5.28	1	10	0.0176343607653168
5.29	1	10	0.0176077270630322
5.3	1	10	0.0175811277012862
5.31	1	10	0.0175545626457729
5.32	1	10	0.0175280318622048
5.33	1	10	0.0175015353163128
5.34	1	10	0.0174750729738465
5.35	1	10	0.0174486448005741
5.36	1	10	0.0174222507622822
5.37	1	10	0.0173958908247761
5.38	1	10	0.0173695649538796
5.39	1	10	0.0173432731154352
5.4	1	10	0.0173170152753041
5.41	1	10	0.0172907913993658
5.42	1	10	0.0172646014535188
5.43	1	10	0.0172384454036801
5.44	1	10	0.0172123232157856
5.45	1	10	0.0171862348557895
5.46	1	10	0.0171601802896651
5.47	1	10	0.0171341594834041
5.48	1	10	0.0171081724030172
5.49	1	10	0.0170822190145338
5.5	1	10	0.0170562992840019
5.51	1	10	0.0170304131774885
5.52	1	10	0.0170045606610792
5.53	1	10	0.0169787417008785
5.54	1	10	0.0169529562630098
5.55	1	10	0.0169272043136151
5.56	1	10	0.0169014858188556
5.57	1	10	0.016875800744911
5.58	1	10	0.0168501490579801
5.59	1	10	0.0168245307242804
5.6	1	10	0.0167989457100487
