Del_APP	delta0	nC_APP	p_APP
6.04	0	11	0.0172035920163018
6.05	0	11	0.0171826542239636
6.06	0	11	0.0171617373211821
6.07	0	11	0.0171408412944717
6.08	0	11	0.0171199661303446
6.09	0	11	0.0170991118153102
6.1	0	11	0.0170782783358757
6.11	0	11	0.0170574656785459
6.12	0	11	0.0170366738298233
6.13	0	11	0.017015902776208
6.14	0	11	0.0170004298370787
6.15	0	11	0.0169864382596962
6.16	0	11	0.0169724615192291
6.17	0	11	0.016958499602899
6.18	0	11	0.0169445524979375
6.19	0	11	0.0169306201915853
6.2	0	11	0.0169167026710926
6.21	0	11	0.0169027999237193
6.22	0	11	0.0168889119367345
6.23	0	11	0.0168750386974168
6.24	0	11	0.0168611801930544
6.25	0	11	0.0168473521051204
6.26	0	11	0.0168339533032873
6.27	0	11	0.0168205684638304
6.28	0	11	0.0168071975745012
6.29	0	11	0.0167938406230616
6.3	0	11	0.0167794975144294
6.31	0	11	0.0167636721940333
6.32	0	11	0.016747862976015
6.33	0	11	0.0167386657704668
6.34	0	11	0.0167217496960064
6.35	0	11	0.016701287454757
6.36	0	11	0.0166836009973272
6.37	0	11	0.0166674477666352
6.38	0	11	0.0166513112794243
6.39	0	11	0.0166351915209651
6.4	0	11	0.0166190884765375
6.41	0	11	0.0166030021314306
6.42	0	11	0.0165869324709434
6.43	0	11	0.0165708794803837
6.44	0	11	0.016554843145069
6.45	0	11	0.0165388234503264
6.46	0	11	0.0165228203814919
6.47	0	11	0.0165068339239115
6.48	0	11	0.0164908640629401
6.49	0	11	0.0164749107839422
6.5	0	11	0.0164589740722917
6.51	0	11	0.016443053913372
6.52	0	11	0.0164271502925758
6.53	0	11	0.0164112631953051
6.54	0	11	0.0163953926069716
6.55	0	12	0.0162425040587215
6.56	0	12	0.0162216288003937
6.57	0	12	0.016200775534584
6.58	0	12	0.0161799442459933
6.59	0	12	0.0161591349193202
6.6	0	12	0.0161383475392619
6.61	0	12	0.0161177080388672
6.62	0	12	0.0160973076007366
6.63	0	12	0.0160769283731537
6.64	0	12	0.0160565703413467
6.65	0	12	0.0160362334905421
6.66	0	12	0.0160159178059652
6.67	0	12	0.0159956232728397
6.68	0	12	0.0159782620265039
6.69	0	12	0.0159741026684372
6.7	0	12	0.0159699353870898
6.71	0	12	0.0159657601861592
6.72	0	12	0.0159453053427642
6.73	0	12	0.0159251314834591
6.74	0	12	0.0159080292253039
6.75	0	12	0.0159101779830302
6.76	0	12	0.0159125476764022
6.77	0	12	0.0159149200680177
6.78	0	12	0.0159172951599006
6.79	0	12	0.0159196729540759
6.8	0	12	0.0159220534525701
6.81	0	12	0.0159244366574108
6.82	0	12	0.0159240920070701
6.83	0	12	0.0159202789551756
6.84	0	12	0.0159027065864091
6.85	0	12	0.0158843234618013
6.86	0	12	0.0158705832756818
6.87	0	12	0.0158619492458497
6.88	0	12	0.0158458927221651
6.89	0	12	0.0158298535175657
6.9	0	12	0.0158138316161769
6.91	0	12	0.0157978270021349
6.92	0	12	0.0157818396595864
6.93	0	12	0.0157658695726887
6.94	0	12	0.0157499167256095
6.95	0	12	0.0157339811025273
6.96	0	12	0.0157180626876309
6.97	0	12	0.0157021614651201
6.98	0	12	0.0156832709740865
6.99	0	12	0.0156630984102543
7	0	12	0.0156429468202019
7.01	0	12	0.0156228161901989
7.02	0	12	0.0156027065065106
7.03	0	12	0.0155826177553981
7.04	0	12	0.0155625617165075
7.05	0	12	0.0155431110637588
7.06	0	12	0.0155411713301874
7.07	0	12	0.0155447952719313
7.08	0	12	0.0155290424112723
7.09	0	12	0.0155133066819498
7.1	0	12	0.0154933597707963
7.11	0	12	0.0154729932990439
7.12	0	12	0.01545264909979
7.13	0	12	0.01543232715585
7.14	0	12	0.0154120274500416
7.15	0	12	0.0153917499651846
7.16	0	12	0.0153719782584081
7.17	0	12	0.015352377118408
7.18	0	12	0.0153533996888005
7.19	0	12	0.0153580828014713
7.2	0	12	0.0153425243799058
7.21	0	12	0.0153269829328166
7.22	0	12	0.0153114584443276
7.23	0	12	0.0152959508985734
7.24	0	12	0.0152804602796999
7.25	0	12	0.0152649865718641
7.26	0	12	0.015249529759234
7.27	0	12	0.0152340898259885
7.28	0	12	0.0152160040641897
7.29	0	12	0.0151960897748772
